Ref, NombreActiv, Descripcion, Duracion, Costo, Ciudad, Departamento, FechaAlta, Ref.Proveedor, Estado, Imagen, Video
A1, Degusta, Festival gastronómico de productos locales en Rocha, 3, 800, Rocha, Rocha, 20/07/2022, U11, Confirmada, actividad/Degusta.jpg, https://www.youtube.com/embed/zQjSMQ6uV1g
A2, Teatro con Sabores, En el mes aniversario del Club Deportivo Unión de Rocha te invitamos a una merienda deliciosa., 3, 500, Rocha, Rocha, 21/07/2022, U11, Confirmada, actividad/Teatro_con_sabores.jpg,https://www.youtube.com/embed/Lxit3xvKShc
A3, Tour por Colonia del Sacramento, Con guía especializado y en varios idiomas. Varios circuitos posibles., 2, 400, Colonia del Sacramento, Colonia, 01/08/2022, U13, Confirmada, actividad/Tour_por_Colonia_del_Sacramento.jpg,https://www.youtube.com/embed/zVDGjURCBz8
A4, Almuerzo en el Real de San Carlos, Restaurante en la renovada Plaza de Toros con menú internacional, 2, 800, Colonia del Sacramento, Colonia, 01/08/2022, U13, Confirmada, actividad/Almuerzo_en_el_Real_de_San_Carlos.jpg,https://www.youtube.com/embed/wfyDxicM1PQ
A5, Almuerzo en Valle del Lunarejo, Almuerzo en la Posada con ticket fijo. Menú que incluye bebida y postre casero., 2, 300, Tranqueras, Rivera, 01/08/2022, U12, Confirmada, actividad/Almuerzo_en_Valle_del_Lunarejo.jpg,https://www.youtube.com/embed/5uaEdiQVEEE
A6, Cabalgata en Valle del Lunarejo, Cabalgata por el área protegida. Varios recorridos para elegir., 2, 150, Tranqueras, Rivera, 01/08/2022, U12, Confirmada, actividad/Cabalgata_en_Valle_del_Lunarejo.jpg,https://www.youtube.com/embed/dlUb22YfXDg
A7, Bus turístico Colonia, Recorrida por los principales atractivos de la ciudad, 3, 600, Colonia del Sacramento, Colonia, 01/09/2022, U13, Agregada, actividad/Bus_turistico_Colonia.jpg,https://www.youtube.com/embed/FCFoe4ibkk8
A8, Colonia Premium Tour, Visita lugares exclusivos y relevantes, 4, 2600, Colonia del Sacramento, Colonia, 03/09/2022, U13, Rechazada, actividad/Colonia_Premium_Tour.jpg,""
A9, Deportes nauticos sin uso de motor, kitsurf - windsurf - kayakismo - canotaje en Rocha, 3, 1200, Rocha, Rocha, 05/09/2022, U11, Agregada, actividad/Deportes_nauticos_sin_uso_de_motor.jpg,https://www.youtube.com/embed/a7Lfx4Flb28
A10, Descubre Rivera, Rivera es un departamento de extraordinaria riqueza natural patrimonial y cultural con una ubicación geográfica privilegiada, 2, 650, Rivera, Rivera, 16/09/2022, U12, Rechazada, actividad/Descubre_Rivera.jpg,""